,SAA2a (RS-),SAA2b (RS-),SAA1g (RS-),SAAU2 (RS-),SAA1a (RS-),SAAU1 (RS-),SAA2a (R-),SAA2b (R-),SAA1b (RS-),SAA1g (R-),SAAU3 (RS-),SAAU2 (R-),SAA1a (R-),SAAU1 (R-),SAA1b (R-),SAAU3 (R-),SAA2a,SAA2b,SAA1g,SAAU2,SAA1a,SAAU1,SAA1b,SAAU3,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,ISD,ISD,MAD1,MAD2
AG-KM-2020_HYR211102(1)_9ng_B225_IOC_1,0.1,0,0.2,0.1,0,0,0.1,0,0,0.4,0,0.1,0,0,0,0,0.2,0,1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CI-KM-R1853_HYR20200526=2.4 ug_ISD=10 ng_45%_1,0.1,0,0.1,0,0.1,0,0.1,0,0,0.6,0,0.1,0.1,0,0,0,0.2,0,1,0,0.4,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CI-KM-R1853_HYR20200526=2.4 ug_ISD=10 ng_45%_2,0.1,0,0.1,0,0.1,0,0.1,0,0,0.6,0,0.1,0.1,0,0,0,0.2,0,1,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0004_FCY190612(2)=2.4ug_ISD=7ng_30%_1,0,0,0,0,0.2,0,0.1,0,0,0.1,0,0.2,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.2,0.4,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0004_FCY190612(2)=2.4ug_ISD=7ng_30%_2,0,0,0,0,0.2,0,0,0,0,0.1,0,0.2,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0006_FCY190612(2)=2.4ug_ISD=7ng_30%_1,0,0,0,0,0.4,0,0.1,0,0,0,0,0.4,0.8,0,0,0,0.2,0,0.2,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0006_FCY190612(2)=2.4ug_ISD=7ng_30%_2,0,0,0,0,0.4,0,0.2,0,0,0.2,0,0.4,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0.4,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0008_FCY190612(2)=2.4ug_ISD=7ng_30%_1,0.1,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0.2,0.6,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0008_FCY190612(2)=2.4ug_ISD=7ng_30%_2,0.1,0,0,0,0.1,0,0.1,0,0,0.1,0,0.2,0.6,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0012_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_1,0,0,0.1,0,0.1,0,0.1,0,0,0.2,0,0.2,0.6,0,0,0,0.1,0,0.2,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CP-CG-0012_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_2,0,0,0.1,0.1,0.1,0,0.1,0,0,0.2,0,0.2,0.8,0,0,0,0.1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
